seqid	sample	count	domain	phylum	class	order	family	genus	species
a3b560c225ea35975b6311ff836c3bab	P28309_1047	17258	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
a3b560c225ea35975b6311ff836c3bab	P28309_1048	10407	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
a3b560c225ea35975b6311ff836c3bab	P28309_1049	7	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
a3b560c225ea35975b6311ff836c3bab	P28309_1050	18	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
a3b560c225ea35975b6311ff836c3bab	P28309_1051	64	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
a3b560c225ea35975b6311ff836c3bab	P28309_1052	2604	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
a3b560c225ea35975b6311ff836c3bab	P28309_1053	44	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
a3b560c225ea35975b6311ff836c3bab	P28309_1054	5864	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
a3b560c225ea35975b6311ff836c3bab	P28309_1055	773	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
a3b560c225ea35975b6311ff836c3bab	P28309_1056	5	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
137332d83e7f8d6856f1923f8dd7bdae	P28309_1042	30596	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
137332d83e7f8d6856f1923f8dd7bdae	P28309_1043	13615	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
137332d83e7f8d6856f1923f8dd7bdae	P28309_1044	17369	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
137332d83e7f8d6856f1923f8dd7bdae	P28309_1046	58671	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
137332d83e7f8d6856f1923f8dd7bdae	P28309_1047	7090	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
137332d83e7f8d6856f1923f8dd7bdae	P28309_1048	6944	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
137332d83e7f8d6856f1923f8dd7bdae	P28309_1050	2084	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
137332d83e7f8d6856f1923f8dd7bdae	P28309_1051	4724	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
137332d83e7f8d6856f1923f8dd7bdae	P28309_1052	8448	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
137332d83e7f8d6856f1923f8dd7bdae	P28309_1054	14472	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
137332d83e7f8d6856f1923f8dd7bdae	P28309_1055	1709	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
08021c8865231797cfaf7706ff308a30	P28309_1042	6	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	NA	NA	NA
3638f2062c305c79df283ef573a10b97	P28309_1049	187	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	NA
3638f2062c305c79df283ef573a10b97	P28309_1050	826	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	NA
3638f2062c305c79df283ef573a10b97	P28309_1052	16242	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	NA
3638f2062c305c79df283ef573a10b97	P28309_1053	1196	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	NA
3638f2062c305c79df283ef573a10b97	P28309_1054	6901	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	NA
3638f2062c305c79df283ef573a10b97	P28309_1055	151	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	NA
3638f2062c305c79df283ef573a10b97	P28309_1056	69973	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	NA
3638f2062c305c79df283ef573a10b97	P28309_1057	21066	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	NA
ce9686f1b58060c2e9259d03a2c1f930	P28309_1053	4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Gallionella	Gallionella acididurans
3db1154f6e48201e1b0aaa2643090250	P28309_1050	5	Bacteria	Firmicutes	Desulfotomaculia	Ammonifexales	Desulforudaceae	Desulforudis	Desulforudis audaxviator
c2353bde311aae3db9d8015a0d4dc0c1	P28309_1042	4791	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
c2353bde311aae3db9d8015a0d4dc0c1	P28309_1043	2826	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
c2353bde311aae3db9d8015a0d4dc0c1	P28309_1044	1834	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
c2353bde311aae3db9d8015a0d4dc0c1	P28309_1046	15119	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
c2353bde311aae3db9d8015a0d4dc0c1	P28309_1047	2448	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
c2353bde311aae3db9d8015a0d4dc0c1	P28309_1048	4929	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
c2353bde311aae3db9d8015a0d4dc0c1	P28309_1050	7185	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
c2353bde311aae3db9d8015a0d4dc0c1	P28309_1051	5057	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
c2353bde311aae3db9d8015a0d4dc0c1	P28309_1052	29770	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
c2353bde311aae3db9d8015a0d4dc0c1	P28309_1053	84	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
c2353bde311aae3db9d8015a0d4dc0c1	P28309_1054	2552	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
c2353bde311aae3db9d8015a0d4dc0c1	P28309_1055	289	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
971d435e12b6ca4c2acd346270579081	P28309_1046	7	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	NA
971d435e12b6ca4c2acd346270579081	P28309_1048	7	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	NA
b63e6fac902ffe2ecedb065fd138f5ae	P28309_1056	5	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	Thiobacillus	NA
9805a24f1ede722f7c85a4e75c3f40f7	P28309_1042	1390	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
9805a24f1ede722f7c85a4e75c3f40f7	P28309_1043	892	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
9805a24f1ede722f7c85a4e75c3f40f7	P28309_1044	3306	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
9805a24f1ede722f7c85a4e75c3f40f7	P28309_1046	24937	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
9805a24f1ede722f7c85a4e75c3f40f7	P28309_1047	4573	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
9805a24f1ede722f7c85a4e75c3f40f7	P28309_1048	3532	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
9805a24f1ede722f7c85a4e75c3f40f7	P28309_1050	378	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
9805a24f1ede722f7c85a4e75c3f40f7	P28309_1051	286	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
9805a24f1ede722f7c85a4e75c3f40f7	P28309_1052	1112	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
9805a24f1ede722f7c85a4e75c3f40f7	P28309_1054	8579	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
9805a24f1ede722f7c85a4e75c3f40f7	P28309_1055	2317	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
05801dfddbb1bb231535ce752d3a418d	P28309_1042	3456	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
05801dfddbb1bb231535ce752d3a418d	P28309_1043	1181	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
05801dfddbb1bb231535ce752d3a418d	P28309_1044	2411	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
05801dfddbb1bb231535ce752d3a418d	P28309_1046	16594	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
05801dfddbb1bb231535ce752d3a418d	P28309_1047	2584	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
05801dfddbb1bb231535ce752d3a418d	P28309_1048	7510	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
05801dfddbb1bb231535ce752d3a418d	P28309_1050	1046	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
05801dfddbb1bb231535ce752d3a418d	P28309_1051	1209	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
05801dfddbb1bb231535ce752d3a418d	P28309_1052	5264	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
05801dfddbb1bb231535ce752d3a418d	P28309_1054	5196	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
05801dfddbb1bb231535ce752d3a418d	P28309_1055	1401	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
64fcc5cd7c9d5b90d2f33f34145b072e	P28309_1042	397	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
64fcc5cd7c9d5b90d2f33f34145b072e	P28309_1043	34	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
64fcc5cd7c9d5b90d2f33f34145b072e	P28309_1044	221	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
64fcc5cd7c9d5b90d2f33f34145b072e	P28309_1046	13435	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
64fcc5cd7c9d5b90d2f33f34145b072e	P28309_1047	1955	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
64fcc5cd7c9d5b90d2f33f34145b072e	P28309_1048	32123	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
64fcc5cd7c9d5b90d2f33f34145b072e	P28309_1052	38	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
64fcc5cd7c9d5b90d2f33f34145b072e	P28309_1054	897	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
64fcc5cd7c9d5b90d2f33f34145b072e	P28309_1055	401	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
64fcc5cd7c9d5b90d2f33f34145b072e	P28309_1056	21	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
7d675641a6e156ada9977a1cf252b76d	P28309_1042	5982	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7d675641a6e156ada9977a1cf252b76d	P28309_1043	2874	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7d675641a6e156ada9977a1cf252b76d	P28309_1044	2325	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7d675641a6e156ada9977a1cf252b76d	P28309_1046	21362	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7d675641a6e156ada9977a1cf252b76d	P28309_1047	2433	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7d675641a6e156ada9977a1cf252b76d	P28309_1048	4087	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7d675641a6e156ada9977a1cf252b76d	P28309_1050	533	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7d675641a6e156ada9977a1cf252b76d	P28309_1051	1028	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7d675641a6e156ada9977a1cf252b76d	P28309_1052	1576	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7d675641a6e156ada9977a1cf252b76d	P28309_1054	4454	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
7d675641a6e156ada9977a1cf252b76d	P28309_1055	607	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
98a9860675ae6423a4ce9301127c7ade	P28309_1042	23	Bacteria	Atribacterota	JS1	SB-45	34-128	34-128	34-128 sp003451675
c078190676549b452bc76d912227f64c	P28309_1042	14	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	NA	NA	NA
c078190676549b452bc76d912227f64c	P28309_1050	97	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	NA	NA	NA
0d42fa4a3f5e515ac9662f1f501741c2	P28309_1042	24	Bacteria	Cyanobacteria	Cyanobacteriia	PCC-6307	Cyanobiaceae	WH-5701	NA
8ab67943ac057d9d04e7d7fd4f1d9e87	P28309_1042	2572	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
8ab67943ac057d9d04e7d7fd4f1d9e87	P28309_1043	1332	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
8ab67943ac057d9d04e7d7fd4f1d9e87	P28309_1044	1032	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
8ab67943ac057d9d04e7d7fd4f1d9e87	P28309_1046	9285	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
8ab67943ac057d9d04e7d7fd4f1d9e87	P28309_1047	1113	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
8ab67943ac057d9d04e7d7fd4f1d9e87	P28309_1048	1738	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
8ab67943ac057d9d04e7d7fd4f1d9e87	P28309_1050	261	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
8ab67943ac057d9d04e7d7fd4f1d9e87	P28309_1051	480	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
8ab67943ac057d9d04e7d7fd4f1d9e87	P28309_1052	694	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
8ab67943ac057d9d04e7d7fd4f1d9e87	P28309_1054	1890	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
8ab67943ac057d9d04e7d7fd4f1d9e87	P28309_1055	300	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
5d0820c2a63426606b762c638adc7640	P28309_1054	50	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas mediterranea
0f66efa5c5259762105520fc82590625	P28309_1042	9	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	NA	NA	NA
f4d065bb0dd57c0da1e3e375cee6de71	P28309_1042	118	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
f4d065bb0dd57c0da1e3e375cee6de71	P28309_1044	101	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
f4d065bb0dd57c0da1e3e375cee6de71	P28309_1046	4626	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
f4d065bb0dd57c0da1e3e375cee6de71	P28309_1047	675	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
f4d065bb0dd57c0da1e3e375cee6de71	P28309_1048	11034	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
f4d065bb0dd57c0da1e3e375cee6de71	P28309_1054	396	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
f4d065bb0dd57c0da1e3e375cee6de71	P28309_1055	206	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
42acad261aaa1903fd71e5bc031743bf	P28309_1050	31	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	NA	NA
05d665fbaf9fe147c4aed74f7646e1fa	P28309_1042	69	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
05d665fbaf9fe147c4aed74f7646e1fa	P28309_1043	46	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
05d665fbaf9fe147c4aed74f7646e1fa	P28309_1044	814	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
05d665fbaf9fe147c4aed74f7646e1fa	P28309_1046	9580	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
05d665fbaf9fe147c4aed74f7646e1fa	P28309_1047	1051	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
05d665fbaf9fe147c4aed74f7646e1fa	P28309_1048	676	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
05d665fbaf9fe147c4aed74f7646e1fa	P28309_1052	153	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
05d665fbaf9fe147c4aed74f7646e1fa	P28309_1054	314	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
05d665fbaf9fe147c4aed74f7646e1fa	P28309_1055	50	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus rigui
b5072fc79b455f2c21b24d42cc9cee4a	P28309_1042	3796	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
b5072fc79b455f2c21b24d42cc9cee4a	P28309_1043	782	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
b5072fc79b455f2c21b24d42cc9cee4a	P28309_1044	43	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
b5072fc79b455f2c21b24d42cc9cee4a	P28309_1046	960	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
b5072fc79b455f2c21b24d42cc9cee4a	P28309_1047	116	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
b5072fc79b455f2c21b24d42cc9cee4a	P28309_1048	397	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
b5072fc79b455f2c21b24d42cc9cee4a	P28309_1050	2141	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
b5072fc79b455f2c21b24d42cc9cee4a	P28309_1051	1289	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
